locus_tag	ftype	length_bp	gene	EC_number	COG	product
PNLIGJCD_00001	CDS	1959	dnaA			Chromosomal replication initiator protein DnaA
PNLIGJCD_00002	CDS	1140	dnaN_1		COG0592	Beta sliding clamp
PNLIGJCD_00003	CDS	900		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
PNLIGJCD_00004	CDS	1134	recF_1		COG1195	DNA replication and repair protein RecF
PNLIGJCD_00005	CDS	291				hypothetical protein
PNLIGJCD_00006	CDS	1938	gyrBR	5.6.2.2		DNA gyrase subunit B, novobiocin-resistant
PNLIGJCD_00007	CDS	2613	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
PNLIGJCD_00008	CDS	759				hypothetical protein
PNLIGJCD_00009	tRNA	75				tRNA-Ile(gat)
PNLIGJCD_00010	CDS	108				hypothetical protein
PNLIGJCD_00011	CDS	138				hypothetical protein
PNLIGJCD_00012	CDS	1422				hypothetical protein
PNLIGJCD_00013	CDS	2556				hypothetical protein
PNLIGJCD_00014	CDS	321				hypothetical protein
PNLIGJCD_00015	CDS	120				hypothetical protein
PNLIGJCD_00016	CDS	1371	abaF_1			Fosfomycin resistance protein AbaF
PNLIGJCD_00017	CDS	432				hypothetical protein
PNLIGJCD_00018	CDS	1800	ydaP_1		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
PNLIGJCD_00019	CDS	465				hypothetical protein
PNLIGJCD_00020	CDS	468				hypothetical protein
PNLIGJCD_00021	CDS	1659	katA_1	1.11.1.6	COG0753	Catalase
PNLIGJCD_00022	CDS	3255	fdhA_1	1.17.1.9		Formate dehydrogenase subunit alpha
PNLIGJCD_00023	CDS	885	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
PNLIGJCD_00024	CDS	1101				hypothetical protein
PNLIGJCD_00025	CDS	498	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
